reviews,cleaned_reviews
very good quality products by himalaya  chef and great packing,good quality products himalaya chefs great packing
"original but rates are high. 
quality not yet check . ",original rates high quality yet check
It's perfect what I wanted thanks,It perfect I wanted thanks
bht achi  quality hy thnx daraz,achieving quality daraz
Good with original paking ,good original packing
product quailty is best,product quality best
great recommended,great recommended
"The vegetables were  well packed 😍 and price is also reasonable🥰 such a good quality in low price💓 wil shop again inshallah❤️ thank u daraz☺️ thank u seller✨ keep up the good quality👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻
",vegetables well packed price also reasonably good quality low price shop inshallah thank daraz think seller keep good quality
The vegetable were  fresh 😍 and price is also reasonable🥰 such a good quality in low price💓 wil shop again inshallah❤️ thank u daraz☺️ thank u seller✨ keep up the good quality👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻 ,vegetable fresh price also reasonably good quality low price shop inshallah thank daraz think seller keep good quality
The vegetable were very fresh 😍 and price is also reasonable🥰 such a good wuality in low price💓 will shop again soon inshallah daraz is always best shop to place❤️ thank u daraz💗 thank u seller🥰,vegetables fresh price also reasonably good quality low price shop soon inshallah daraz always best shop place thank daraz thank seller
"good quality
nice packaging.good taste. bhttt mzy ki bani hy.😋
keep it up draz . ",good quality rice packaging good taste mazy ski bani keep draz
Fresh cauliflower delivered in the main bag without wraping them individually so they were a little damaged.,fresh cauliflower delivered main bag without wrapping individually little damaged
Gobi was really nice and clean. But there was too much of the stalk left with it so the useable part was not big enough as you would expect when buying 1kg Gobi from the market.,gobi really nice clean much stock left useable part big enough would expect buying 1 kg gobi market
"Gobhi achi hai. Gobhi k phool mix size k hain. Kuch chotay, aur kuch normal. Saray phool baray size k nhe. ",gobhi achi gobhi k school mix size k chain kuch chotay normal saray school baray size k
Good n fresh as always,good fresh always
"MASHA-ALLAH 💯% Fresh vegetables bijwaty hain Dfresh waly.
love it",mash fresh vegetables birthday chain fresh love
"Vegetable received in good condition.
Each stuff well packed.
Fresh 💯%",vegetables received good condition stuff well packed fresh
The cabbage were not very fresh but dFresh sent me almost 2kg instead of the ordered 1kg so not taking down a star.,cabbage fresh refresh sent almost 2 kg instead ordered 1 kg taking star
cauliflower was fresh and cheap. there was no default in it. i loved ordering from dfresh d will love to do so in future. i would recommend it to all daraz customers .,cauliflower fresh cheap default loved ordering refresh love future would recommend daraz customers
ek dum fresh thanks dfresh seller,seek fresh thanks refresh seller
The vegetable did not appear very fresh but wasn't spoilt either.,vegetable appear fresh spoilt either
"Fresh vegetables.
On time delivered.
Reasonable Price..👍👍👍",fresh vegetables time delivered reasonable prices
fresh vegetables and great service with free delivery ,fresh vegetables great service free delivery
Fresh but little bit expensive then market ,fresh little bit expensive market
"good quality and very good service of delivery, good fresh vegetables",good quality good service delivery good fresh vegetables
Fresh vegetables at reasonable price. Dfresh is always recommended. ,fresh vegetables reasonable price afresh always recommended
It's spoiled. Very bad. You guys should skip that part of order if its not upto quality. Instead of sending it to customer. ,It spoiled bad guys skip part order upto quality instead sending customers
"Vegetable received in good condition.
Each stuff well packed.
Fresh 💯%",vegetables received good condition stuff well packed fresh
therr were 2 types of cauliflower and ordered te better one and this is what I got. not good. ,2 types cauliflower ordered better one I got good
"verr good service , excellent quality,  worth to order",good service excellent quality worth order
happy customer always🤗,happy customers always
Timely delivered. Superb quality. Thumbs up 👍 thanks daraz  happy customer 😁,timely delivered superb quality thumbs thanks dangerous happy customer
"fresh and good quality
thank you daraz",fresh good quality thank daraz
the cauliflower quality was poor. very unhappy with the product,cauliflower quality poor unhappy product
Horrible stuff! ,horrible stuff
good but costly,good costly
Fresh Products,fresh products
Now you are improving yourself 😉. keep it up👍,improving keep
Very bad ruined cauliflower,bad ruined cauliflower
All good and fresh,good fresh
A1 as always ,a1 always
fresh,fresh
excellent vegetables and perfect quality thanks for the best experience of daraz shopping and highly recommend to all.,excellent vegetables perfect quality thanks best experience dress shopping highly recommend
